Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,Rk_2,Tm_2,2018-19
Al Horford\horfoal01,227,C,31.0,BOS,72.0,72.0,31.6,5.1,10.5,0.489,1.3,3.1,0.429,3.8,7.3,0.514,0.5529999999999999,1.3,1.7,0.7829999999999999,1.4,5.9,7.4,4.7,0.6,1.1,1.8,1.9,12.9,13,BOS,28928710.0
Al Jefferson\jeffeal01,250,C,33.0,IND,36.0,1.0,13.4,3.1,5.8,0.534,0.0,0.1,0.0,3.1,5.7,0.541,0.534,0.8,1.0,0.833,0.8,3.1,4.0,0.8,0.4,0.6,0.6,1.8,7.0,235,IND,4000000.0
Alex Len\lenal01,292,C,24.0,PHO,69.0,13.0,20.2,3.1,5.5,0.5660000000000001,0.0,0.0,0.33299999999999996,3.1,5.4,0.568,0.5670000000000001,2.3,3.3,0.684,2.5,5.0,7.5,1.2,0.4,0.9,1.1,2.3,8.5,227,ATL,4350000.0
Amir Johnson\johnsam01,254,C,30.0,PHI,74.0,18.0,15.8,1.9,3.5,0.5379999999999999,0.1,0.4,0.313,1.8,3.1,0.57,0.5579999999999999,0.7,1.1,0.612,1.7,2.8,4.5,1.6,0.6,0.6,0.7,2.6,4.6,301,PHI,2393887.0
Andre Drummond\drumman01,140,C,24.0,DET,78.0,78.0,33.7,6.0,11.3,0.529,0.0,0.1,0.0,6.0,11.2,0.536,0.529,3.1,5.1,0.605,5.1,10.9,16.0,3.0,1.5,1.6,2.6,3.2,15.0,25,DET,25434263.0
Aron Baynes\baynear01,35,C,31.0,BOS,81.0,67.0,18.3,2.6,5.5,0.47100000000000003,0.0,0.3,0.14300000000000002,2.6,5.2,0.48700000000000004,0.474,0.7,1.0,0.7559999999999999,1.6,3.8,5.4,1.1,0.3,0.6,1.0,2.5,6.0,210,BOS,5193600.0
Bismack Biyombo\biyombi01,48,C,25.0,ORL,82.0,25.0,18.2,2.2,4.3,0.52,0.0,0.0,0.0,2.2,4.3,0.521,0.52,1.2,1.9,0.65,1.8,4.0,5.7,0.8,0.3,1.2,1.0,1.9,5.7,66,CHO,17000000.0
Brook Lopez\lopezbr01,302,C,29.0,LAL,74.0,72.0,23.4,5.0,10.7,0.465,1.5,4.4,0.345,3.5,6.3,0.5489999999999999,0.536,1.5,2.1,0.703,1.0,3.0,4.0,1.7,0.4,1.3,1.3,2.6,13.0,253,MIL,3382000.0
Channing Frye\fryech01,166,C,34.0,TOT,53.0,1.0,13.1,2.0,4.0,0.491,0.7,2.2,0.33899999999999997,1.2,1.8,0.67,0.583,0.3,0.4,0.895,0.2,2.3,2.5,0.7,0.3,0.2,0.4,1.3,5.0,312,CLE,2393887.0
Clint Capela\capelca01,85,C,23.0,HOU,74.0,74.0,27.5,6.0,9.1,0.652,0.0,0.0,0.0,6.0,9.1,0.653,0.652,1.9,3.5,0.56,3.3,7.6,10.8,0.9,0.8,1.9,1.4,2.5,13.9,76,HOU,15293104.0
