Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,Rk_2,Tm_2,2018-19
Aaron Gordon\gordoaa01,179,PF,22.0,ORL,58.0,57.0,32.9,6.5,14.9,0.434,2.0,5.9,0.336,4.5,9.0,0.49700000000000005,0.5,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1.0,0.8,1.8,1.9,17.6,40,ORL,21590909.0
Al-Farouq Aminu\aminual01,11,PF,27.0,POR,69.0,67.0,30.0,3.3,8.4,0.395,1.8,4.9,0.369,1.5,3.5,0.43200000000000005,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2.0,9.3,179,POR,6957105.0
Anthony Davis\davisan02,122,PF,24.0,NOP,75.0,75.0,36.4,10.4,19.5,0.534,0.7,2.2,0.34,9.7,17.3,0.5579999999999999,0.552,6.6,8.0,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,24,NOP,25434263.0
Anthony Tolliver\tollian01,482,PF,32.0,DET,79.0,14.0,22.2,2.8,6.0,0.46399999999999997,2.0,4.6,0.436,0.8,1.4,0.561,0.632,1.3,1.7,0.797,0.6,2.4,3.1,1.1,0.4,0.3,0.7,1.8,8.9,195,MIN,5750000.0
Blake Griffin\griffbl01,191,PF,28.0,TOT,58.0,58.0,34.0,7.5,17.2,0.43799999999999994,1.9,5.6,0.345,5.6,11.6,0.48200000000000004,0.493,4.5,5.7,0.785,1.3,6.1,7.4,5.8,0.7,0.3,2.8,2.4,21.4,5,DET,32088932.0
Carmelo Anthony\anthoca01,17,PF,33.0,OKC,78.0,78.0,32.1,6.1,15.0,0.40399999999999997,2.2,6.1,0.35700000000000004,3.9,8.9,0.43700000000000006,0.47600000000000003,1.9,2.5,0.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,20,ATL,25534253.0
Carmelo Anthony\anthoca01,17,PF,33.0,OKC,78.0,78.0,32.1,6.1,15.0,0.40399999999999997,2.2,6.1,0.35700000000000004,3.9,8.9,0.43700000000000006,0.47600000000000003,1.9,2.5,0.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,308,HOU,2393887.0
Darrell Arthur\arthuda01,21,PF,29.0,DEN,19.0,1.0,7.4,1.2,2.5,0.46799999999999997,0.4,1.2,0.348,0.7,1.3,0.583,0.5529999999999999,0.1,0.2,0.667,0.2,0.6,0.8,0.5,0.4,0.2,0.8,1.2,2.8,166,PHO,7464912.0
Draymond Green\greendr01,187,PF,27.0,GSW,70.0,70.0,32.7,4.0,8.8,0.45399999999999996,1.1,3.7,0.301,2.9,5.2,0.562,0.516,1.9,2.5,0.775,1.1,6.6,7.6,7.3,1.4,1.3,2.9,2.6,11.0,61,GSW,17469565.0
Ersan Ilyasova\ilyaser01,235,PF,30.0,TOT,69.0,43.0,25.1,4.0,8.9,0.452,1.3,3.7,0.36,2.7,5.2,0.517,0.526,1.5,2.0,0.778,1.7,4.2,5.9,1.3,0.9,0.4,1.0,2.3,10.9,177,MIL,7000000.0
Giannis Antetokounmpo\antetgi01,16,PF,23.0,MIL,75.0,75.0,36.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.5539999999999999,0.545,6.5,8.5,0.76,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,29,MIL,24157304.0
Harrison Barnes\barneha02,31,PF,25.0,DAL,77.0,77.0,34.2,7.0,15.7,0.445,1.5,4.3,0.35700000000000004,5.4,11.4,0.478,0.494,3.4,4.1,0.8270000000000001,1.0,5.1,6.1,2.0,0.6,0.2,1.5,1.2,18.9,33,DAL,24107258.0
JaMychal Green\greenja01,189,PF,27.0,MEM,55.0,54.0,28.0,4.1,8.9,0.457,0.8,2.3,0.33899999999999997,3.3,6.6,0.499,0.501,1.5,2.0,0.721,2.7,5.8,8.4,1.4,0.6,0.5,1.4,2.8,10.3,162,MEM,7866667.0
Jabari Parker\parkeja01,390,PF,22.0,MIL,31.0,3.0,24.0,5.2,10.7,0.48200000000000004,1.0,2.6,0.38299999999999995,4.2,8.1,0.514,0.529,1.3,1.7,0.741,1.4,3.5,4.9,1.9,0.8,0.3,1.5,1.6,12.6,46,CHI,20000000.0
James Johnson\johnsja01,257,PF,30.0,MIA,73.0,41.0,26.6,4.2,8.4,0.503,0.8,2.5,0.308,3.5,5.9,0.5870000000000001,0.55,1.5,2.2,0.698,0.8,4.1,4.9,3.8,1.0,0.7,1.9,2.6,10.8,83,MIA,14651700.0
Jared Dudley\dudleja01,141,PF,32.0,PHO,48.0,0.0,14.3,1.0,2.5,0.39299999999999996,0.6,1.7,0.363,0.4,0.9,0.452,0.512,0.6,0.7,0.7709999999999999,0.2,1.8,2.0,1.6,0.5,0.2,0.6,1.8,3.2,139,BRK,9530000.0
Jeff Green\greenje02,190,PF,31.0,CLE,78.0,13.0,23.4,3.8,7.9,0.47700000000000004,0.7,2.2,0.312,3.1,5.7,0.54,0.52,2.6,3.0,0.868,0.8,2.4,3.2,1.3,0.5,0.4,1.0,1.9,10.8,300,WAS,2393887.0
Jerami Grant\grantje01,183,PF,23.0,OKC,81.0,1.0,20.3,3.0,5.6,0.535,0.4,1.4,0.29100000000000004,2.6,4.3,0.613,0.57,2.0,3.0,0.675,1.1,2.9,3.9,0.7,0.4,1.0,0.7,1.9,8.4,146,OKC,8653847.0
Jon Leuer\leuerjo01,295,PF,28.0,DET,8.0,0.0,17.0,1.9,4.5,0.41700000000000004,0.0,0.4,0.0,1.9,4.1,0.455,0.41700000000000004,1.6,1.9,0.867,0.9,3.1,4.0,0.6,0.1,0.4,0.9,2.0,5.4,132,DET,10002681.0
Jonas Jerebko\jerebjo01,253,PF,30.0,UTA,74.0,19.0,15.3,2.1,4.6,0.466,0.9,2.1,0.414,1.3,2.5,0.511,0.562,0.6,0.8,0.807,0.7,2.6,3.3,0.6,0.3,0.2,0.4,1.7,5.8,328,GSW,2165481.0
Josh Smith\smithjo03,459,PF,32.0,NOP,3.0,0.0,4.0,0.3,1.3,0.25,0.0,0.0,,0.3,1.3,0.25,0.25,0.0,0.0,,1.0,0.3,1.3,0.0,0.0,0.0,0.0,1.0,0.7,207,DET,5331729.0
Kelly Olynyk\olynyke01,383,PF,26.0,MIA,76.0,22.0,23.4,4.2,8.4,0.49700000000000005,1.4,3.7,0.379,2.8,4.7,0.59,0.58,1.8,2.3,0.77,1.2,4.5,5.7,2.7,0.8,0.5,1.9,2.9,11.5,110,MIA,12137527.0
Kenneth Faried\farieke01,154,PF,28.0,DEN,32.0,7.0,14.4,2.4,4.6,0.514,0.0,0.0,0.0,2.4,4.6,0.517,0.514,1.1,1.6,0.706,2.1,2.7,4.8,0.6,0.4,0.4,0.7,1.6,5.9,91,BRK,13764045.0
Kevin Durant\duranke01,143,PF,29.0,GSW,68.0,68.0,34.2,9.3,18.0,0.516,2.5,6.1,0.419,6.7,11.9,0.565,0.586,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3.0,2.0,26.4,11,GSW,30000000.0
Lance Thomas\thomala01,478,PF,29.0,NYK,73.0,31.0,18.5,1.4,3.7,0.382,0.7,1.7,0.40299999999999997,0.7,2.0,0.364,0.47600000000000003,0.6,0.7,0.83,0.6,1.8,2.4,0.6,0.4,0.2,0.5,1.8,4.1,173,NYK,7119650.0
LeBron James\jamesle01,248,PF,33.0,CLE,82.0,82.0,36.9,10.5,19.3,0.542,1.8,5.0,0.36700000000000005,8.6,14.3,0.603,0.59,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,4,LAL,35654150.0
Luc Mbah a Moute\mbahalu01,319,PF,31.0,HOU,61.0,15.0,25.6,2.7,5.7,0.48100000000000004,1.0,2.8,0.364,1.7,2.8,0.599,0.5720000000000001,1.1,1.6,0.684,0.4,2.7,3.0,0.9,1.2,0.4,1.1,1.6,7.5,229,LAC,4320500.0
Marcus Morris\morrima03,352,PF,28.0,BOS,54.0,21.0,26.8,4.9,11.3,0.429,1.6,4.3,0.368,3.3,7.0,0.467,0.499,2.3,2.9,0.805,0.8,4.6,5.4,1.3,0.6,0.2,1.2,1.9,13.6,203,BOS,5375000.0
Markieff Morris\morrima02,353,PF,28.0,WAS,73.0,73.0,27.0,4.5,9.4,0.48,1.0,2.8,0.36700000000000005,3.5,6.6,0.529,0.536,1.4,1.8,0.82,1.0,4.6,5.6,1.9,0.8,0.5,1.7,3.0,11.5,150,WAS,8600000.0
Marvin Williams\willima02,521,PF,31.0,CHO,78.0,78.0,25.7,3.3,7.2,0.45799999999999996,1.6,3.9,0.413,1.7,3.3,0.512,0.57,1.3,1.6,0.8290000000000001,0.9,3.8,4.7,1.2,0.7,0.5,0.8,1.5,9.5,87,CHO,14087500.0
Michael Beasley\beaslmi01,39,PF,29.0,NYK,74.0,30.0,22.3,5.5,10.9,0.507,0.5,1.2,0.395,5.1,9.7,0.52,0.528,1.7,2.1,0.78,1.3,4.3,5.6,1.7,0.5,0.6,1.9,2.0,13.2,246,LAL,3500000.0
Mike Scott\scottmi01,443,PF,29.0,WAS,76.0,1.0,18.5,3.6,6.9,0.527,0.9,2.1,0.405,2.8,4.8,0.5820000000000001,0.59,0.7,1.0,0.6579999999999999,0.7,2.6,3.3,1.1,0.3,0.1,1.0,1.9,8.8,228,LAC,4320500.0
Mirza Teletovic\teletmi01,472,PF,32.0,MIL,10.0,0.0,15.9,2.5,5.7,0.439,2.1,4.5,0.467,0.4,1.2,0.33299999999999996,0.623,0.0,0.0,,0.3,2.0,2.3,1.0,0.4,0.1,0.7,1.4,7.1,245,MIL,3500000.0
Nikola Mirotic\mirotni01,342,PF,26.0,TOT,55.0,14.0,27.2,5.6,12.4,0.447,2.5,6.5,0.377,3.1,5.9,0.525,0.546,2.0,2.5,0.818,1.1,6.3,7.4,1.5,0.8,0.7,1.1,2.0,15.6,105,NOP,12500000.0
Noah Vonleh\vonleno01,493,PF,22.0,TOT,54.0,16.0,16.2,1.9,4.3,0.444,0.4,1.2,0.303,1.6,3.1,0.5,0.48700000000000004,0.7,1.1,0.621,1.3,4.5,5.8,0.6,0.4,0.3,0.6,1.3,4.9,377,NYK,1621415.0
P.J. Tucker\tuckepj01,484,PF,32.0,HOU,82.0,34.0,27.8,2.1,5.4,0.39,1.4,3.8,0.371,0.7,1.6,0.435,0.52,0.5,0.7,0.7170000000000001,1.1,4.4,5.6,0.9,1.0,0.3,0.9,2.5,6.1,160,HOU,7969537.0
Patrick Patterson\pattepa01,393,PF,28.0,OKC,82.0,3.0,15.5,1.3,3.2,0.39799999999999996,0.8,2.1,0.386,0.5,1.2,0.42100000000000004,0.523,0.5,0.6,0.87,0.4,2.0,2.4,0.7,0.6,0.3,0.4,1.1,3.9,201,OKC,5451600.0
Paul Millsap\millspa01,341,PF,32.0,DEN,38.0,37.0,30.1,5.3,11.4,0.46399999999999997,1.0,3.0,0.345,4.3,8.5,0.506,0.509,2.9,4.2,0.696,1.7,4.7,6.4,2.8,1.0,1.2,1.9,2.6,14.6,12,DEN,29730769.0
Rudy Gay\gayru01,172,PF,31.0,SAS,57.0,6.0,21.6,4.4,9.4,0.47100000000000003,0.6,2.1,0.314,3.8,7.4,0.516,0.506,2.0,2.5,0.772,1.3,3.8,5.1,1.3,0.8,0.7,1.4,1.7,11.5,131,SAS,10087200.0
Ryan Anderson\anderry01,14,PF,29.0,HOU,66.0,50.0,26.1,3.1,7.3,0.431,2.0,5.1,0.386,1.2,2.1,0.539,0.568,1.1,1.4,0.774,1.4,3.6,5.0,0.9,0.4,0.3,0.6,1.9,9.3,44,PHO,20421546.0
Serge Ibaka\ibakase01,233,PF,28.0,TOR,76.0,76.0,27.5,5.0,10.3,0.483,1.4,3.9,0.36,3.6,6.4,0.5589999999999999,0.552,1.2,1.6,0.797,1.0,5.3,6.3,0.8,0.4,1.3,1.2,2.8,12.6,39,TOR,21666667.0
Taj Gibson\gibsota01,176,PF,32.0,MIN,82.0,82.0,33.2,5.2,9.0,0.5770000000000001,0.1,0.4,0.2,5.1,8.6,0.595,0.581,1.7,2.3,0.768,2.4,4.8,7.1,1.2,0.8,0.7,1.1,2.7,12.2,88,MIN,14000000.0
Thaddeus Young\youngth01,535,PF,29.0,IND,81.0,81.0,32.2,5.2,10.7,0.48700000000000004,0.7,2.2,0.32,4.5,8.4,0.531,0.521,0.7,1.1,0.598,2.3,4.0,6.3,1.9,1.7,0.4,1.3,2.2,11.8,90,IND,13764045.0
Tobias Harris\harrito02,200,PF,25.0,TOT,80.0,80.0,33.4,7.0,15.3,0.46,2.3,5.6,0.41100000000000003,4.7,9.7,0.488,0.535,2.2,2.7,0.8290000000000001,0.7,4.7,5.5,2.4,0.9,0.4,1.3,2.1,18.6,81,LAC,14800000.0
Zach Randolph\randoza01,421,PF,36.0,SAC,59.0,57.0,25.6,6.1,12.9,0.473,0.9,2.5,0.34700000000000003,5.3,10.4,0.503,0.507,1.4,1.8,0.785,1.6,5.1,6.7,2.2,0.7,0.2,2.0,2.0,14.5,116,SAC,11692308.0
