Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Alex Abrines\abrinal01,01/10/18 OKC @ MIN,23,3,159,2507,280,722,200,537,91,104,46,223,80,86,20,66,269,851,.388,.372,.875,15.8,5.4,1.4,0.5
2,Ron Baker\bakerro01,01/10/18 NYK vs. CHI,23,3,90,1334,104,288,34,127,53,75,18,134,163,64,14,77,122,295,.361,.268,.707,14.8,3.3,1.5,1.8
3,Wade Baldwin\baldwwa01,01/3/17 MEM @ LAL,20,3,48,530,53,151,8,31,37,47,13,59,72,20,8,49,55,151,.351,.258,.787,11.0,3.1,1.2,1.5
4,Malik Beasley\beaslma01,01/10/18 DEN vs. ATL,20,3,105,1130,168,385,62,178,35,49,23,137,59,31,9,44,74,433,.436,.348,.714,10.8,4.1,1.3,0.6
5,DeAndre' Bembry\bembrde01,01/10/17 ATL @ BRK,22,3,85,1310,165,390,28,100,53,94,35,230,128,57,33,96,107,411,.423,.280,.564,15.4,4.8,2.7,1.5
6,Dragan Bender\bendedr01,01/12/17 PHO vs. DAL,19,3,131,2669,246,653,146,427,43,62,65,470,155,32,75,147,243,681,.377,.342,.694,20.4,5.2,3.6,1.2
7,Ben Bentil\bentibe01,03/1/17 DAL @ ATL,21,1,3,10,0,3,0,1,0,0,0,2,0,0,0,1,1,0,.000,.000,,3.3,0.0,0.7,0.0
8,Davis Bertans\bertada01,01/10/17 SAS vs. MIL,24,3,162,2184,303,686,190,488,81,97,47,297,138,53,62,78,191,877,.442,.389,.835,13.5,5.4,1.8,0.9
9,Joel Bolomboy\bolomjo01,03/11/17 UTA @ OKC,23,2,18,91,12,22,1,5,6,12,10,27,2,3,2,4,4,31,.545,.200,.500,5.1,1.7,1.5,0.1
10,Malcolm Brogdon\brogdma01,01/1/18 MIL @ TOR,24,3,143,4024,648,1365,171,426,218,246,90,454,535,136,29,210,299,1685,.475,.401,.886,28.1,11.8,3.2,3.7
11,Jaylen Brown\brownja02,01/10/17 BOS @ TOR,20,3,167,4026,647,1432,186,516,263,402,133,644,202,117,55,218,370,1743,.452,.360,.654,24.1,10.4,3.9,1.2
12,Nicolas Brussino\brussni01,01/15/17 DAL vs. MIN,23,2,58,531,52,143,29,97,17,22,26,98,47,17,8,26,43,150,.364,.299,.773,9.2,2.6,1.7,0.8
13,Marquese Chriss\chrisma01,01/12/17 PHO vs. DAL,19,3,160,3299,491,1124,128,420,209,339,174,748,144,118,142,218,475,1319,.437,.305,.617,20.6,8.2,4.7,0.9
14,Semaj Christon\chrisse01,01/2/17 OKC @ MIL,24,1,64,973,77,223,12,63,17,31,19,87,130,28,7,43,79,183,.345,.190,.548,15.2,2.9,1.4,2.0
15,Quinn Cook\cookqu01,02/2/18 GSW @ SAC,23,3,66,1321,231,479,91,204,34,42,17,146,162,24,3,66,105,587,.482,.446,.810,20.0,8.9,2.2,2.5
16,Deyonta Davis\davisde01,01/10/18 MEM vs. NOP,20,2,98,1181,185,312,0,0,48,75,95,310,42,18,56,40,165,418,.593,,.640,12.1,4.3,3.2,0.4
17,Malcolm Delaney\delanma01,01/1/17 ATL vs. SAS,27,2,127,2262,254,673,72,234,149,185,19,223,356,74,7,161,194,729,.377,.308,.805,17.8,5.7,1.8,2.8
18,Cheick Diallo\diallch01,01/10/18 NOP @ MEM,20,3,84,926,162,297,0,0,79,105,86,340,29,19,39,41,116,403,.545,,.752,11.0,4.8,4.0,0.3
19,Kris Dunn\dunnkr01,01/1/17 MIN vs. POR,22,3,131,2888,408,992,65,211,120,173,48,391,505,182,63,243,358,1001,.411,.308,.694,22.0,7.6,3.0,3.9
20,Henry Ellenson\ellenhe01,01/10/17 DET @ SAC,20,3,58,483,78,215,31,97,31,39,18,125,27,6,1,32,29,218,.363,.320,.795,8.3,3.8,2.2,0.5
21,Joel Embiid\embiijo01,01/11/17 PHI vs. NYK,22,3,116,3463,909,1905,132,407,740,946,253,1225,343,77,231,423,401,2690,.477,.324,.782,29.9,23.2,10.6,3.0
22,Kay Felder\feldeka01,01/10/17 CLE @ UTA,21,2,58,526,83,228,11,41,46,61,6,59,78,21,8,46,49,223,.364,.268,.754,9.1,3.8,1.0,1.3
23,Yogi Ferrell\ferreyo01,01/10/18 DAL @ CHO,23,3,140,3657,494,1179,210,559,171,207,48,380,384,113,19,154,256,1369,.419,.376,.826,26.1,9.8,2.7,2.7
24,Dorian Finney-Smith\finnedo01,01/12/17 DAL @ PHO,23,3,120,2582,229,579,103,327,74,104,112,373,108,80,40,86,225,635,.396,.315,.712,21.5,5.3,3.1,0.9
25,Bryn Forbes\forbebr01,01/11/18 SAS @ LAL,23,3,136,2375,342,808,153,384,71,101,18,170,150,44,2,72,180,908,.423,.398,.703,17.5,6.7,1.3,1.1
26,Patricio Garino\garinpa01,04/10/17 ORL @ CHI,23,1,5,43,0,7,0,5,0,0,1,7,0,0,0,3,4,0,.000,.000,,8.6,0.0,1.4,0.0
27,Michael Gbinije\gbinimi01,02/6/17 DET vs. PHI,24,1,9,32,1,10,0,4,2,2,2,3,2,0,0,0,2,4,.100,.000,1.000,3.6,0.4,0.3,0.2
28,Marcus Georges-Hunt\georgma01,01/1/18 MIN vs. LAL,22,2,47,272,23,55,5,17,22,31,8,25,10,7,0,5,37,73,.418,.294,.710,5.8,1.6,0.5,0.2
29,Jonathan Gibson\gibsojo01,04/10/18 BOS @ WAS,29,2,21,271,49,118,21,57,21,29,1,25,30,8,0,24,26,140,.415,.368,.724,12.9,6.7,1.2,1.4
30,Treveon Graham\grahatr01,01/10/17 CHO @ HOU,23,3,92,1266,115,264,49,114,51,74,48,147,66,40,3,32,132,330,.436,.430,.689,13.8,3.6,1.6,0.7
31,A.J. Hammons\hammoaj01,04/11/17 DAL vs. DEN,24,1,22,163,17,42,5,10,9,20,8,36,4,1,13,10,21,48,.405,.500,.450,7.4,2.2,1.6,0.2
32,Andrew Harrison\harrian01,01/10/18 MEM vs. NOP,22,3,137,2920,309,822,93,311,285,366,50,280,389,94,49,172,351,996,.376,.299,.779,21.3,7.3,2.0,2.8
33,Juan Hernangomez\hernaju01,01/12/17 DEN vs. IND,21,3,107,1618,193,429,92,235,89,114,96,344,57,46,24,55,124,567,.450,.391,.781,15.1,5.3,3.2,0.5
34,Willy Hernangomez\hernawi01,01/11/17 NYK @ PHI,22,3,135,2032,374,701,19,44,178,252,261,759,144,67,61,149,247,945,.534,.432,.706,15.1,7.0,5.6,1.1
35,Buddy Hield\hieldbu01,01/11/18 SAC vs. LAC,23,3,182,4533,889,2001,375,900,168,197,112,687,329,134,40,273,314,2321,.444,.417,.853,24.9,12.8,3.8,1.8
36,Danuel House\houseda01,01/12/18 PHO vs. HOU,23,3,25,432,57,134,15,61,27,33,15,80,26,7,6,12,26,156,.425,.246,.818,17.3,6.2,3.2,1.0
37,Brandon Ingram\ingrabr01,01/1/17 LAL vs. TOR,19,3,154,4764,732,1655,106,322,370,564,129,701,430,107,89,304,367,1940,.442,.329,.656,30.9,12.6,4.6,2.8
38,Demetrius Jackson\jacksde01,02/24/17 BOS @ TOR,22,2,20,97,10,22,2,8,4,8,7,16,12,5,1,10,7,26,.455,.250,.500,4.9,1.3,0.8,0.6
39,Pierre Jackson\jackspi01,01/15/17 DAL vs. MIN,25,1,8,84,13,39,3,11,6,7,1,9,19,2,0,3,5,35,.333,.273,.857,10.5,4.4,1.1,2.4
40,Brice Johnson\johnsbr02,02/23/17 LAC @ GSW,22,2,21,107,22,49,0,1,3,5,10,34,3,11,7,6,13,47,.449,.000,.600,5.1,2.2,1.6,0.1
41,Damian Jones\jonesda03,01/22/17 GSW @ ORL,21,3,47,553,68,104,0,0,27,48,42,107,28,14,32,25,88,163,.654,,.563,11.8,3.5,2.3,0.6
42,Derrick Jones\jonesde02,01/10/18 MIA @ IND,19,3,65,977,113,237,11,45,55,80,75,154,28,22,32,31,110,292,.477,.244,.688,15.0,4.5,2.4,0.4
43,Mindaugas Kuzminskas\kuzmimi01,01/11/17 NYK @ PHI,27,2,69,1018,158,371,54,168,55,68,47,126,69,29,11,51,79,425,.426,.321,.809,14.8,6.2,1.8,1.0
44,Skal Labissiere\labissk01,01/11/18 SAC vs. LAC,20,3,100,1892,328,689,22,64,151,197,151,459,101,43,63,114,207,829,.476,.344,.766,18.9,8.3,4.6,1.0
45,Nicolas Laprovittola\laproni01,10/25/16 SAS @ GSW,27,1,18,174,20,47,10,27,9,9,1,10,28,4,1,19,19,59,.426,.370,1.000,9.7,3.3,0.6,1.6
46,Jake Layman\laymaja01,01/10/17 POR @ LAL,22,3,89,709,79,212,32,110,18,26,22,84,29,25,14,28,55,208,.373,.291,.692,8.0,2.3,0.9,0.3
47,Caris LeVert\leverca01,01/1/18 BRK vs. ORL,22,3,142,3517,588,1319,163,490,244,341,90,508,461,148,35,242,284,1583,.446,.333,.716,24.8,11.1,3.6,3.2
48,Shawn Long\longsh01,03/12/17 PHI @ LAL,24,1,18,234,61,109,7,19,19,35,41,85,13,9,9,13,49,148,.560,.368,.543,13.0,8.2,4.7,0.7
49,Timothe Luwawu-Cabarrot\luwawti01,01/11/17 PHI vs. NYK,21,3,133,2103,258,664,108,337,154,185,43,237,133,47,16,115,262,778,.389,.320,.832,15.8,5.8,1.8,1.0
50,Sheldon Mac\mcclesh01,01/10/17 WAS vs. CHI,24,1,30,287,30,75,7,30,23,27,4,34,15,8,2,5,17,90,.400,.233,.852,9.6,3.0,1.1,0.5
51,Thon Maker\makerth01,01/1/18 MIL @ TOR,19,3,143,1941,236,553,71,214,99,148,122,374,76,50,87,65,263,642,.427,.332,.669,13.6,4.5,2.6,0.5
52,Patrick McCaw\mccawpa01,01/10/17 GSW vs. MIA,21,2,128,2035,198,470,60,203,55,71,37,182,158,75,25,77,129,511,.421,.296,.775,15.9,4.0,1.4,1.2
53,Rodney McGruder\mcgruro01,01/1/17 MIA vs. DET,25,3,116,2938,319,744,121,344,73,113,125,387,208,72,25,91,216,832,.429,.352,.646,25.3,7.2,3.3,1.8
54,Dejounte Murray\murrade01,01/11/18 SAS @ LAL,20,2,119,2065,320,725,18,57,126,178,116,501,279,105,37,172,180,784,.441,.316,.708,17.4,6.6,4.2,2.3
55,Jamal Murray\murraja01,01/10/18 DEN vs. ATL,19,3,184,5038,915,2120,313,885,387,432,140,601,539,148,62,334,342,2530,.432,.354,.896,27.4,13.8,3.3,2.9
56,Maurice Ndour\ndourma01,01/15/17 NYK @ TOR,24,1,32,331,39,86,1,7,19,26,22,64,8,15,8,12,30,98,.453,.143,.731,10.3,3.1,2.0,0.3
57,Georges Niang\niangge01,01/1/17 IND vs. ORL,23,3,49,254,33,91,13,46,9,11,8,48,15,8,1,13,21,88,.363,.283,.818,5.2,1.8,1.0,0.3
58,David Nwaba\nwabada01,01/1/18 CHI vs. POR,24,3,104,2286,277,570,24,79,183,279,113,427,127,82,42,93,216,761,.486,.304,.656,22.0,7.3,4.1,1.2
59,Daniel Ochefu\ochefda01,01/14/17 WAS vs. PHI,23,1,19,75,12,27,0,0,0,2,5,22,3,2,0,3,17,24,.444,,.000,3.9,1.3,1.2,0.2
60,Chinanu Onuaku\onuakch01,01/11/17 HOU @ MIN,20,2,6,74,7,12,0,0,4,4,3,14,4,3,1,7,10,18,.583,,1.000,12.3,3.0,2.3,0.7
61,Georgios Papagiannis\papagge01,01/15/18 SAC @ OKC,19,2,39,477,74,144,0,2,12,14,37,123,29,7,23,32,56,160,.514,.000,.857,12.2,4.1,3.2,0.7
62,Gary Payton\paytoga02,01/15/18 LAL @ MEM,24,2,29,320,38,96,7,34,6,14,13,56,34,10,7,17,39,89,.396,.206,.429,11.0,3.1,1.9,1.2
63,Marshall Plumlee\plumlma02,01/18/17 NYK @ BOS,24,2,29,222,17,33,0,0,20,35,27,68,12,4,5,15,33,54,.515,,.571,7.7,1.9,2.3,0.4
64,Jakob Poeltl\poeltja01,01/1/17 TOR @ LAL,21,3,152,2338,345,542,1,2,108,185,279,622,84,60,127,124,344,799,.637,.500,.584,15.4,5.3,4.1,0.6
65,Alex Poythress\poythal01,01/14/18 IND @ PHO,23,3,44,456,62,129,15,44,16,27,38,95,18,9,8,13,61,155,.481,.341,.593,10.4,3.5,2.2,0.4
66,Tim Quarterman\quartti01,02/15/17 POR @ UTA,22,2,19,93,14,32,5,15,2,5,4,17,12,2,3,13,7,35,.438,.333,.400,4.9,1.8,0.9,0.6
67,Chasson Randle\randlch01,01/14/17 PHI @ WAS,23,1,26,299,40,98,16,47,41,43,6,32,34,9,2,19,39,137,.408,.340,.953,11.5,5.3,1.2,1.3
68,Malachi Richardson\richama01,01/13/17 SAC vs. CLE,21,3,60,590,63,176,24,83,34,44,9,67,24,16,2,25,58,184,.358,.289,.773,9.8,3.1,1.1,0.4
69,Domantas Sabonis\sabondo01,01/10/18 IND vs. MIA,20,3,175,3934,648,1316,68,201,270,369,259,1060,298,90,75,266,482,1634,.492,.338,.732,22.5,9.3,6.1,1.7
70,Dario Saric\saricda01,01/11/17 PHI vs. NYK,22,3,179,4998,859,2013,292,838,390,470,302,1161,418,118,54,366,380,2400,.427,.348,.830,27.9,13.4,6.5,2.3
71,Tomas Satoransky\satorto01,01/10/18 WAS vs. UTA,25,3,150,2644,293,600,63,158,123,155,108,353,428,90,26,132,219,772,.488,.399,.794,17.6,5.1,2.4,2.9
72,Wayne Selden\seldewa01,01/10/18 MEM vs. NOP,22,3,69,1252,185,434,71,194,71,96,24,97,104,31,10,83,109,512,.426,.366,.740,18.1,7.4,1.4,1.5
73,Pascal Siakam\siakapa01,01/1/17 TOR @ LAL,22,3,158,3180,482,903,42,176,127,185,173,696,228,113,102,131,343,1133,.534,.239,.686,20.1,7.2,4.4,1.4
74,Diamond Stone\stonedi01,01/28/17 LAC @ GSW,19,1,7,24,3,13,0,0,4,4,1,6,0,0,1,2,5,10,.231,,1.000,3.4,1.4,0.9,0.0
75,Isaiah Taylor\taylois01,01/10/18 ATL @ DEN,22,2,71,1219,164,397,20,82,100,143,23,97,209,35,11,84,122,448,.413,.244,.699,17.2,6.3,1.4,2.9
76,Mike Tobey\tobeymi01,02/15/17 CHO @ TOR,22,1,2,25,1,4,0,0,0,0,2,3,1,0,0,1,2,2,.250,,,12.5,1.0,1.5,0.5
77,Tyler Ulis\ulisty01,01/12/17 PHO vs. DAL,21,3,133,2782,398,988,63,225,139,172,44,223,537,118,12,204,193,998,.403,.280,.808,20.9,7.5,1.7,4.0
78,Jarrod Uthoff\uthofja01,03/10/17 DAL vs. BRK,23,1,9,115,16,38,3,9,5,7,8,22,9,2,4,3,8,40,.421,.333,.714,12.8,4.4,2.4,1.0
79,Denzel Valentine\valende01,01/1/18 CHI vs. POR,23,2,134,3071,403,1009,216,578,52,69,59,544,307,95,18,148,271,1074,.399,.374,.754,22.9,8.0,4.1,2.3
80,Fred VanVleet\vanvlfr01,01/1/18 TOR vs. MIL,22,3,131,2251,337,810,144,361,122,151,38,268,358,99,25,113,197,940,.416,.399,.808,17.2,7.2,2.0,2.7
81,Taurean Waller-Prince\princta02,01/10/17 ATL @ BRK,22,3,159,3965,623,1485,253,683,269,324,81,622,311,148,74,300,318,1768,.420,.370,.830,24.9,11.1,3.9,2.0
82,Okaro White\whiteok01,01/19/17 MIA vs. DAL,24,3,42,554,40,104,16,46,22,25,29,95,23,11,11,19,58,118,.385,.348,.880,13.2,2.8,2.3,0.5
83,Isaiah Whitehead\whiteis01,01/10/17 BRK vs. ATL,21,2,89,1823,244,594,51,167,104,132,36,210,212,50,38,166,198,643,.411,.305,.788,20.5,7.2,2.4,2.4
84,Troy Williams\willitr02,02/22/18 NYK @ ORL,22,3,61,1014,149,326,39,125,46,69,40,158,46,51,18,54,113,383,.457,.312,.667,16.6,6.3,2.6,0.8
85,Kyle Wiltjer\wiltjky01,03/10/17 HOU @ CHI,24,1,14,44,4,14,4,13,1,2,4,10,2,3,1,5,4,13,.286,.308,.500,3.1,0.9,0.7,0.1
86,Stephen Zimmerman\zimmest01,02/15/17 ORL vs. SAS,20,1,19,108,10,31,0,0,3,5,11,35,4,2,5,3,17,23,.323,,.600,5.7,1.2,1.8,0.2
87,Paul Zipser\zipsepa01,01/1/18 CHI vs. POR,22,2,98,1667,169,455,70,209,50,65,28,256,82,35,31,83,164,458,.371,.335,.769,17.0,4.7,2.6,0.8
88,Ivica Zubac\zubaciv01,01/1/18 LAL @ MIN,19,3,87,1066,192,374,0,4,75,104,96,303,57,23,50,60,125,459,.513,.000,.721,12.3,5.3,3.5,0.7
