Rk,Player,PER,TS%,3PAr,FTr,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,VORP
1,Alex Abrines\abrinal01,9,0.567,0.759,0.158,3.4,1.7,0.6,7.4,12.7,2.2,0.094,-2.2,-0.1
2,Quincy Acy\acyqu01,8.2,0.525,0.8,0.164,6,1.2,1.6,13.3,14.4,1,0.036,-2.2,-0.1
3,Steven Adams\adamsst01,20.6,0.63,0.003,0.402,5.5,1.8,2.8,13.2,16.7,9.7,0.187,3.3,3.3
4,Bam Adebayo\adebaba01,15.7,0.57,0.021,0.526,11,1.2,2.5,13.6,15.9,4.2,0.148,0.2,0.8
5,Arron Afflalo\afflaar01,5.8,0.516,0.432,0.16,6.2,0.3,1.1,10.8,12.5,0.1,0.009,-5.8,-0.7
6,Cole Aldrich\aldrico01,6,0.34,0,0.4,8.2,2,1.8,5.4,16.8,0,-0.013,-6.9,-0.1
7,LaMarcus Aldridge\aldrila01,25,0.57,0.068,0.296,11.3,0.9,3,6.8,29.1,10.9,0.209,3.3,3.3
8,Jarrett Allen\allenja01,17.5,0.636,0.038,0.37,5.4,0.9,4.6,15.1,16.3,4.2,0.141,0.2,0.8
9,Kadeem Allen\allenka01,2.6,0.366,0.5,0.409,15.2,1.4,1.6,25.7,14.6,-0.1,-0.039,-6.4,-0.1
10,Tony Allen\allento01,8.7,0.514,0.132,0.231,4.6,1.9,0.9,15.9,18.9,0.1,0.017,-5.2,-0.2
11,Al-Farouq Aminu\aminual01,12,0.522,0.582,0.137,5.8,1.9,1.6,11.3,14.8,4.2,0.097,1.1,1.6
12,Justin Anderson\anderju01,13,0.54,0.51,0.188,7.1,1.4,1.1,6.8,19.3,1.2,0.115,-2,0
13,Kyle Anderson\anderky01,15.9,0.582,0.13,0.333,14.7,2.9,2.5,15.8,13.5,6.2,0.151,4.1,3
14,Ryan Anderson\anderry01,12.6,0.592,0.706,0.194,5.1,0.7,1,7.5,14.4,4.8,0.132,0.2,1
15,Ike Anigbogu\anigbik01,21.6,0.558,0,0.667,0,1.7,8.9,14.7,20.3,0.1,0.165,-5.4,0
16,Giannis Antetokounmpo\antetgi01,27.3,0.598,0.1,0.457,23.7,2,3.3,11.7,31.2,11.9,0.207,5.8,5.4
17,Carmelo Anthony\anthoca01,12.7,0.503,0.406,0.165,6.5,0.9,1.8,7.3,23.2,3.7,0.071,-3.8,-1.1
18,OG Anunoby\anunoog01,10,0.587,0.569,0.179,5,1.7,0.8,10.8,12.4,3,0.098,0.6,1
19,Ryan Arcidiacono\arcidry01,7.3,0.55,0.756,0.146,15.5,2.1,0,23,8.1,0.3,0.04,-4.1,-0.2
20,Trevor Ariza\arizatr01,11.8,0.567,0.71,0.137,6.8,2.1,0.5,7,14.4,5.3,0.113,1.5,2
